Station.Code,Latitude,Longitude,GMT.Offset
258,sfbccwq   ,38.0012,122.4604,-8
259,sosecwq   ,43.296501,124.310729,-8
260,sosbhnut  ,43.3501,124.3286,-8
261,soschnut  ,43.3377,124.320533,-8
262,soschwq   ,43.3377,124.320533,-8
263,soscmmet  ,43.34505,124.328733,-8
264,soscsnut  ,43.3451,124.3287,-8
265,sossewq   ,43.289683,124.302617,-8
266,sosvanut  ,43.317217,124.321633,-8
267,sosvawq   ,43.317217,124.321633,-8
268,soswinut  ,43.282417,124.320317,-8
269,soswiwq   ,43.282417,124.320317,-8
270,tjrbrwq   ,32.5595,117.1288,-8
271,tjrhpnut  ,32.55874,117.11926,-8
272,tjrmmnut  ,32.5478,117.123,-8
273,tjrmmwq   ,32.5478,117.123,-8
274,tjrosnut  ,32.56829,117.13127,-8
275,tjroswq   ,32.56829,117.13127,-8
276,tjrrcnut  ,32.5578,117.1061,-8
277,tjrrcwq   ,32.5578,117.1061,-8
278,tjrrmnut  ,32.5537,117.1262,-8
279,tjrtlmet  ,32.5745,117.127,-8
280,tjrtlnut  ,32.5744,117.1272,-8
281,tjrtlwq   ,32.5744,117.1272,-8
282,tjrsbwq   ,32.600136,117.115692,-8
283,tjrbrnut  ,32.5595,117.1288,-8
284,tjrpewq   ,32.59612,117.11822,-8
285,tjrsbnut  ,32.600136,117.115692,-8
286,tjrpenut  ,32.59612,117.11822,-8
287,welsmnut  ,43.344711,70.549217,-5
288,weldnwq   ,43.3289,70.5603,-5
289,welhtnut  ,43.298347,70.587094,-5
290,welhtwq   ,43.298347,70.587094,-5
291,welinnut  ,43.320089,70.563442,-5
292,welinwq   ,43.320089,70.563442,-5
293,wellfmet  ,43.337375,70.549444,-5
294,wellmnut  ,43.340153,70.540603,-5
295,wellmwq   ,43.340153,70.540603,-5
296,welmlnut  ,43.305,70.5764,-5
297,welmlwq   ,43.305,70.5764,-5
298,welsmwq   ,43.344711,70.549217,-5
299,welupwq   ,43.3306,70.5572,-5
300,wkbfrnut  ,30.4162,87.8228,-6
301,wkbfrwq   ,30.4162,87.8228,-6
302,wkbmbnut  ,30.3961,87.8335,-6
303,wkbmbwq   ,30.3961,87.8335,-6
304,wkbmrnut  ,30.39,87.8177,-6
305,wkbmrwq   ,30.39,87.8177,-6
306,wkbwbmet  ,30.4148,87.826,-6
307,wkbwbnut  ,30.3808,87.832,-6
308,wkbwbwq   ,30.3808,87.832,-6
309,wkbwsnut  ,30.41481,87.826,-6
310,wkbshmet  ,30.4212,87.8285,-6
311,wqbcbwq   ,41.5655,70.5211,-5
312,wqbchmet  ,41.5817,70.5251,-5
313,wqbcrnut  ,41.5798,70.5309,-5
314,wqbcrwq   ,41.5798,70.5309,-5
315,wqbctwq   ,41.5655,70.5211,-5
316,wqbmhnut  ,41.5526,70.5485,-5
317,wqbmhwq   ,41.5526,70.5485,-5
318,wqbmpnut  ,41.5689,70.5216,-5
319,wqbmpwq   ,41.5689,70.5216,-5
320,wqbnbwq   ,41.5788,70.5237,-5
321,wqbnswq   ,41.5788,70.5237,-5
322,wqbslnut  ,41.5542,70.5102,-5
323,wqbslwq   ,41.5542,70.5102,-5

